imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;isfire
abc006.jpg;0;122;114,914;50,71;104,661;47,906;116,4;49,487;123,68;52,787;1,063;1,182;1,067;1,102;0
abc006.jpg;1;146;134,448;51,605;122,826;48,654;136,598;49,699;143,92;54,061;1,054;1,172;1,088;1,111;0
abc006.jpg;2;165;148,084;50,092;135,741;47,012;150,646;48,47;157,864;52,093;1,048;1,163;1,075;1,108;0
abc006.jpg;3;190;183,397;32,693;167,339;28,845;183,379;30,077;199,474;30,878;1,088;1,192;1,027;1,071;0
abc006.jpg;4;186;185,003;11,96;170,978;2,828;185,826;4,143;198,206;5,679;1,067;1,159;1,371;2,008;0
abc006.jpg;5;179;179,169;10,516;170,043;6,416;179,448;7,849;188,014;8,207;1,048;1,106;1,046;1,279;0
abc006.jpg;6;158;156,458;17,218;153,779;14,184;154,92;17,104;160,674;19,192;1,037;1,045;1,122;1,353;0
abc006.jpg;7;140;140,658;15,514;141,813;14,184;139,264;15,893;140,896;16,278;1,012;0,994;1,024;1,148;0
abc006.jpg;8;138;140,801;10,462;143,949;11,509;139,035;9,654;139,418;9,369;1,003;0,969;0,97;0,814;0
abc006.jpg;9;156;156,25;12,45;166,731;8,085;154,17;9,577;147,848;11,096;0,959;0,887;1,159;1,372;0
abc006.jpg;10;79;91,979;54,448;82,885;50,649;93,81;53,174;99,242;57,983;1,058;1,197;1,09;1,145;0
abc006.jpg;11;91;99,247;50,247;89,333;47,461;101,958;48,627;106,451;52,91;1,044;1,192;1,088;1,115;0
abc006.jpg;12;123;121,497;50,371;110,557;48,309;123,501;49,261;130,432;51,457;1,056;1,18;1,045;1,065;0
abc006.jpg;13;183;179,649;20,117;164,859;15,601;179,566;15,68;194,522;16,878;1,083;1,18;1,076;1,082;0
abc006.jpg;14;175;173,263;20,259;163,744;17,894;172,27;18,341;183,774;19,302;1,067;1,122;1,052;1,079;0
abc006.jpg;15;163;163,078;7,787;160,002;5,49;162,413;6,897;166,821;8,961;1,027;1,043;1,299;1,632;0
abc006.jpg;16;129;128,786;12,059;130,774;10,005;126,653;12,259;128,931;13,319;1,018;0,986;1,086;1,331;0
abc006.jpg;17;107;106,925;7,388;111,034;6,785;104,405;6,659;105,338;6,902;1,009;0,949;1,037;1,017;0
abc006.jpg;18;122;119,209;13,659;123,152;13,859;116,779;13,063;117,696;13,162;1,008;0,956;1,008;0,95;0
abc006.jpg;19;136;137,108;11,237;148,445;7,842;134,128;7,535;128,75;7,301;0,96;0,867;0,969;0,931;0
abc006.jpg;20;94;99,852;54,555;85,538;49,228;101,787;52,388;112,232;58,301;1,103;1,312;1,113;1,184;0
abc006.jpg;21;130;126,202;50,898;111,379;46,5;127,205;48,746;140,021;53,12;1,101;1,257;1,09;1,142;0
abc006.jpg;22;165;156,025;39,876;139,554;36,286;156,525;36,785;171,995;39,671;1,099;1,232;1,078;1,093;0
abc006.jpg;23;174;174,367;14,327;158,662;4,35;173,285;5,183;191,155;6,351;1,103;1,205;1,225;1,46;0
abc006.jpg;24;160;160,7;11,402;152,029;7,346;159,568;8,431;170,504;9,612;1,069;1,122;1,14;1,309;0
abc006.jpg;25;145;143,81;11,457;143,464;10,788;141,792;11,333;146,174;11,797;1,031;1,019;1,041;1,094;0
abc006.jpg;26;135;136,221;8,765;135,574;7,149;133,067;7,576;140,022;9,858;1,052;1,033;1,301;1,379;0
abc006.jpg;27;109;111,694;15,781;110,91;12,319;108,142;14,512;116,029;18,781;1,073;1,046;1,294;1,525;0
abc006.jpg;28;119;116,267;16,134;119,6;15,379;112,806;15,613;116,395;16,659;1,032;0,973;1,067;1,083;0
abc006.jpg;29;126;125,024;12,844;128,717;15,406;123,093;10,672;123,262;11,099;1,001;0,958;1,04;0,72;0
abc006.jpg;30;38;47,106;27,418;39,154;24,693;51,763;25,989;50,4;29,568;0,974;1,287;1,138;1,197;0
abc006.jpg;31;124;120,092;48,705;102,45;44,566;121,386;44,623;136,442;50,585;1,124;1,332;1,134;1,135;0
abc006.jpg;32;171;163,71;32,596;144,41;26,924;162,243;26,859;184,478;30,582;1,137;1,277;1,139;1,136;0
abc006.jpg;33;166;159,442;29,334;146,354;25,435;158,592;25,054;173,381;30,667;1,093;1,185;1,224;1,206;0
abc006.jpg;34;162;163,566;8,775;155,704;4,228;161,582;4,896;173,413;5,141;1,073;1,114;1,05;1,216;0
abc006.jpg;35;140;140,174;10,737;137,714;7,633;137,605;9,434;145,205;12,675;1,055;1,054;1,344;1,661;0
