time;img_train_num;img_test_num;Features_num;tn;fp;fn;tp;accuracy;TPR;FPR;Precision;F1;PLR;Unnamed: 14
20:57:57;20;53;13;2711;555;277;1757;84,302;86,382;16,993;75,995;80,856;5,083;
20:59:59;20;53;12;2715;551;274;1760;84,434;86,529;16,871;76,158;81,013;5,129;
21:03:14;20;53;11;2737;529;286;1748;84,623;85,939;16,197;76,768;81,095;5,306;
21:07:59;20;53;5;2831;435;370;1664;84,811;81,809;13,319;79,276;80,523;6,142;
21:14:42;20;53;8;2680;586;254;1780;84,151;87,512;17,942;75,232;80,909;4,877;
21:17:05;21;52;8;2621;561;260;1758;84,212;87,116;17,63;75,809;81,07;4,941;
21:19:36;20;53;7;2675;591;269;1765;83,774;86,775;18,096;74,915;80,41;4,795;
22:24:17;20;53;5;2831;435;370;1664;84,811;81,809;13,319;79,276;80,523;6,142;
22:25:53;20;53;5;2801;465;351;1683;84,604;82,743;14,238;78,352;80,488;5,812;
22:28:32;20;53;5;2641;625;239;1795;83,698;88,25;19,137;74,174;80,602;4,612;
22:31:57;20;53;5;2439;827;184;1850;80,925;90,954;25,321;69,107;78,54;3,592;
22:33:02;20;53;5;2465;801;806;1228;69,679;60,374;24,525;60,522;60,448;2,462;
22:34:08;20;53;5;2820;446;382;1652;84,377;81,219;13,656;78,742;79,961;5,948;
22:36:14;20;53;6;2775;491;336;1698;84,396;83,481;15,034;77,57;80,417;5,553;
14:31:13;20;53;6;2775;491;336;1698;84,396;83,481;15,034;77,57;80,417;5,553;
14:34:09;20;53;21;2718;548;268;1766;84,604;86,824;16,779;76,318;81,233;5,175;
14:41:00;20;53;8;2718;548;299;1735;84,019;85,3;16,779;75,996;80,38;5,084;
14:50:37;20;53;7;2718;548;275;1759;84,472;86,48;16,779;76,246;81,041;5,154;
15:06:27;20;53;5;2776;490;350;1684;84,151;82,793;15,003;77,461;80,038;5,518;
15:08:07;20;53;5;2726;540;299;1735;84,17;85,3;16,534;76,264;80,529;5,159;
15:27:05;20;53;6;2799;467;367;1667;84,264;81,957;14,299;78,116;79,99;5,732;
15:27:55;20;53;5;2831;435;370;1664;84,811;81,809;13,319;79,276;80,523;6,142;
15:40:17;20;53;5;2831;435;370;1664;84,811;81,809;13,319;79,276;80,523;6,142;
15:46:33;20;53;7;2795;471;337;1697;84,755;83,432;14,421;78,275;80,771;5,785;
15:49:35;20;53;5;2526;740;215;1819;81,981;89,43;22,658;71,082;79,207;3,947;
15:50:51;20;53;5;2801;465;351;1683;84,604;82,743;14,238;78,352;80,488;5,812;
15:52:20;20;53;5;2651;615;247;1787;83,736;87,856;18,83;74,396;80,568;4,666;
15:53:13;20;53;5;2814;452;363;1671;84,623;82,153;13,84;78,709;80,395;5,936;
15:54:19;20;53;5;2820;446;382;1652;84,377;81,219;13,656;78,742;79,961;5,948;
15:56:11;20;53;5;2776;490;351;1683;84,132;82,743;15,003;77,451;80,01;5,515;
15:57:05;20;53;5;2831;435;370;1664;84,811;81,809;13,319;79,276;80,523;6,142;
00:00:00;1;1;1;1;1;1;1;1;1;1;1;1;1;
15:59:49;20,000;53,000;5,000;2820,000;446,000;382,000;1652,000;84,377;81,219;13,656;78,742;79,961;5,948;
16:01:10;20,000;53,000;5,000;2801,000;465,000;351,000;1683,000;84,604;82,743;14,238;78,352;80,488;5,812;
16:02:48;20,000;53,000;5,000;2684,000;582,000;292,000;1742,000;83,509;85,644;17,820;74,957;79,945;4,806;
16:04:37;20,000;53,000;5,000;2628,000;638,000;237,000;1797,000;83,491;88,348;19,535;73,799;80,421;4,523;
16:05:44;20,000;53,000;5,000;2465,000;801,000;806,000;1228,000;69,679;60,374;24,525;60,522;60,448;2,462;
16:06:28;20,000;53,000;5,000;2439,000;827,000;184,000;1850,000;80,925;90,954;25,321;69,107;78,540;3,592;
17:54:09;20,000;53,000;5,000;2803,000;463,000;365,000;1669,000;84,377;82,055;14,176;78,283;80,125;5,788;
18:03:01;20,000;53,000;5,000;2813,000;453,000;361,000;1673,000;84,642;82,252;13,870;78,692;80,433;5,930;
21:23:20;20,000;53,000;5,000;2831,000;435,000;370,000;1664,000;84,811;81,809;13,319;79,276;80,523;6,142;
22:48:50;25,000;48,000;5,000;2579,000;283,000;417,000;1521,000;85,417;78,483;9,888;84,313;81,293;7,937;
22:50:36;27,000;46,000;5,000;2415,000;282,000;411,000;1492,000;84,935;78,403;10,456;84,104;81,153;7,498;
22:51:30;25,000;48,000;5,000;2579,000;283,000;417,000;1521,000;85,417;78,483;9,888;84,313;81,293;7,937;
17:59:50;27,000;48,000;5,000;2609,000;253,000;456,000;1482,000;85,229;76,471;8,840;85,418;80,697;8,651;
18:05:45;29,000;48,000;5,000;2631,000;231,000;469,000;1469,000;85,417;75,800;8,071;86,412;80,759;9,391;
18:30:34;29,000;48,000;5,000;2631,000;231,000;469,000;1469,000;85,417;75,800;8,071;86,412;80,759;9,391;
