time;img_train_num;img_test_num;Features_num;tn;fp;fn;tp;accuracy;TPR;FPR;Precision;F1;PLR
16:16:35;15,200;3,800;187500,000;136,000;54,000;16,000;174,000;8157,895;9157,895;2842,105;7631,579;8325,359;3,222
16:19:19;15,200;3,800;187500,000;138,000;52,000;19,000;171,000;8131,579;9000,000;2736,842;7668,161;8280,872;3,288
16:23:19;15,200;3,800;187500,000;138,000;52,000;19,000;171,000;8131,579;9000,000;2736,842;7668,161;8280,872;3,288
16:56:59;15,200;3,800;187500,000;174,000;16,000;24,000;166,000;89,474;87,368;8,421;91,209;89,247;10,375
17:08:47;15,200;3,800;187500,000;157,000;33,000;25,000;165,000;84,737;86,842;17,368;83,333;85,052;5,000
17:13:35;15,200;3,800;187500,000;168,000;22,000;34,000;156,000;85,263;82,105;11,579;87,640;84,783;7,091
17:16:35;15,200;3,800;187500,000;172,000;18,000;65,000;125,000;78,158;65,789;9,474;87,413;75,075;6,944
17:21:44;15,200;3,800;187500,000;163,000;27,000;55,000;135,000;78,421;71,053;14,211;83,333;76,705;5,000
23:17:07;15,200;3,800;187500,000;163,000;27,000;55,000;135,000;78,421;71,053;14,211;83,333;76,705;5,000
23:21:10;15,200;3,800;187500,000;163,000;27,000;55,000;135,000;78,421;71,053;14,211;83,333;76,705;5,000
23:26:16;15,200;3,800;187500,000;136,000;54,000;16,000;174,000;81,579;91,579;28,421;76,316;83,254;3,222
