imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv
fire_0035.jpg;0;166;139,811;105,262;5,136;6,841;163,867;46,919;250,429;6,293;1,528;48,76;0,134;0,92
fire_0035.jpg;1;104;125,144;103,984;4,528;6,602;120,997;47,152;249,907;6,302;2,065;55,192;0,134;0,955
fire_0035.jpg;2;69;101,612;97,275;2,23;2,1;69,518;5,624;233,086;12,616;3,353;104,504;2,243;6,007
fire_0035.jpg;3;56;84,863;82,099;1,579;1,798;57,589;6,573;195,421;16,463;3,393;123,747;2,505;9,157
fire_0035.jpg;4;60;89,882;86,419;1,986;1,64;61,326;6,294;206,333;16,131;3,365;103,915;2,563;9,836
fire_0035.jpg;5;51;79,211;76,422;2,435;1,553;52,13;3,776;183,067;9,51;3,512;75,175;2,518;6,123
fire_0035.jpg;6;41;65,029;63,905;1,837;1,351;41,266;3,751;151,986;10,783;3,683;82,745;2,874;7,979
fire_0035.jpg;7;34;56,183;55,273;2,629;1,489;34,016;3,281;131,904;7,686;3,878;50,177;2,342;5,161
fire_0035.jpg;8;28;49,919;49,587;2,723;1,468;28,784;2,345;118,25;5,085;4,108;43,423;2,168;3,464
fire_0035.jpg;9;24;43,868;43,711;3,205;3,505;24,192;3,309;104,208;5,201;4,308;32,516;1,572;1,484
fire_0035.jpg;10;179;142,439;106,232;6,563;9,174;173,298;56,811;247,456;10,062;1,428;37,704;0,177;1,097
fire_0035.jpg;11;160;139,47;105,684;3,827;5,664;163,413;44,668;251,171;5,559;1,537;65,628;0,124;0,981
fire_0035.jpg;12;83;111,477;102,006;1,794;2,19;86,371;16,589;246,266;10,329;2,851;137,302;0,623;4,716
fire_0035.jpg;13;74;105,506;100,209;1,736;1,936;74,166;5,012;240,616;9,563;3,244;138,604;1,908;4,939
fire_0035.jpg;14;70;101,349;96,474;2,123;1,888;70,182;4,387;231,742;8,913;3,302;109,148;2,032;4,721
fire_0035.jpg;15;54;83,291;81,094;1,666;1,336;54,918;4,469;193,288;11,832;3,52;116,047;2,647;8,858
fire_0035.jpg;16;48;72,663;70,269;2,466;1,836;47,624;4,846;167,899;12,719;3,526;68,097;2,625;6,926
fire_0035.jpg;17;39;62,81;61,332;2,488;1,622;39,912;5,161;146,029;12,932;3,659;58,693;2,506;7,973
fire_0035.jpg;18;32;53,993;53,717;2,435;1,73;31,875;3,054;127,669;8,283;4,005;52,426;2,713;4,787
fire_0035.jpg;19;30;51,653;51,24;2,867;3,418;30,402;4,566;121,69;10,356;4,003;42,442;2,268;3,03
fire_0035.jpg;20;127;128,269;100,373;7,544;10,837;130,678;37,594;246,584;10,701;1,887;32,686;0,285;0,988
fire_0035.jpg;21;97;120,357;104,122;2,514;5,128;106,419;32,052;252,138;4,775;2,369;100,309;0,149;0,931
fire_0035.jpg;22;90;116,338;104,64;1,426;1,375;93,467;11,536;254,122;1,113;2,719;178,256;0,097;0,81
fire_0035.jpg;23;75;105,226;100,203;1,552;1,684;74,253;7,395;239,872;15,084;3,23;154,557;2,04;8,957
fire_0035.jpg;24;62;92,193;88,991;1,586;1,492;62,002;2,42;212,992;6,05;3,435;134,329;2,5;4,054
fire_0035.jpg;25;56;84,518;81,941;1,806;1,429;55,904;3,361;195,845;8,729;3,503;108,417;2,597;6,11
fire_0035.jpg;26;68;97,025;92,812;1,811;1,836;67,363;6,734;221,899;15,956;3,294;122,515;2,37;8,693
fire_0035.jpg;27;67;95,34;92,347;1,829;1,536;65,691;9,711;218,499;26,372;3,326;119,477;2,716;17,168
fire_0035.jpg;28;50;78,164;76,918;2,309;1,657;50,648;7,614;181,534;22,182;3,584;78,627;2,913;13,389
fire_0035.jpg;29;44;69,141;67,605;3,334;2,934;43,131;4,635;160,957;15,628;3,732;48,272;3,372;5,326
fire_0035.jpg;30;78;106,861;95,097;5,403;8,597;86,322;31,352;228,858;21,789;2,651;42,356;0,695;2,535
fire_0035.jpg;31;76;104,428;98,893;1,915;2,575;74,442;8,734;236,928;17,087;3,183;123,709;1,956;6,636
fire_0035.jpg;32;70;101,639;96,694;2,293;2,53;70,662;6,072;231,962;13,88;3,283;101,17;2,286;5,487
fire_0035.jpg;33;67;97,582;93,734;1,448;1,68;67,152;4,469;224,147;12,199;3,338;154,798;2,73;7,26
fire_0035.jpg;34;65;96,667;92,683;2,165;1,808;66,07;6,211;221,765;14,577;3,356;102,441;2,347;8,064
fire_0035.jpg;35;61;91,224;87,159;2,718;1,897;61,79;5,086;209,163;12,308;3,385;76,943;2,42;6,489
fire_0035.jpg;36;75;104,986;99,606;1,35;1,311;74,398;3,735;239,21;7,533;3,215;177,14;2,017;5,746
fire_0035.jpg;37;78;109,378;103,611;1,387;1,513;77,717;3,534;249,03;4,882;3,204;179,52;1,381;3,227
fire_0035.jpg;38;66;97,01;94,107;1,421;1,629;66,062;8,169;223,547;19,803;3,384;157,339;2,424;12,157
fire_0035.jpg;39;48;77,456;76,789;2,592;3,027;48,686;7,257;181,09;21,34;3,72;69,865;2,941;7,051
fire_0035.jpg;40;60;88,284;84,395;1,925;1,63;60,4;3,279;202,528;8,172;3,353;105,22;2,492;5,012
fire_0035.jpg;41;65;95,447;91,059;2,114;2,371;65,475;3,833;218,754;6,391;3,341;103,498;1,667;2,695
fire_0035.jpg;42;70;101,888;96,639;2,496;3,294;70,491;3,503;232,677;4,897;3,301;93,22;1,398;1,487
fire_0035.jpg;43;70;100,983;96,484;1,464;2,029;70,182;3,969;231,302;8,486;3,296;157,993;2,138;4,182
fire_0035.jpg;44;75;107,314;102,005;1,475;1,479;75,502;3,271;244,963;6,392;3,244;166,054;1,954;4,321
fire_0035.jpg;45;78;109,541;103,873;1,474;1,536;77,613;3,985;249,536;7,338;3,215;169,338;1,842;4,779
fire_0035.jpg;46;79;110,138;103,601;1,525;1,267;79,496;5,07;249,394;6,656;3,137;163,558;1,313;5,252
fire_0035.jpg;47;94;116,223;104,683;1,09;0,997;93,325;6,356;254,256;0,925;2,724;233,348;0,146;0,928
